,Quarter,Region,State,Purpose,Trips
217,2015-09-05,237301,603160,7207625.11000002,42881.6334
218,2015-09-07,FS000562,691001,9186858.37100001,120749.735
219,2015-09-08,148690,691001,10676443.9476,96029.6521
220,2015-09-09,14827,691001,12265159.3240001,189130.5508
221,2015-09-10,50900,691001,8935009.78660004,80871.6319
222,2015-09-11,128883,691007,9942541.45889995,115252.6635
223,2015-09-12,115296,115016,10347030.2300002,100070.6584
224,2015-09-14,FS002580,691001,7666141.87419996,94607.7188
225,2015-09-15,25021,691001,8789510.9831999,107908.3225
226,2015-09-16,124083,691001,9207566.22399998,70451.5629
227,2015-09-17,76467,691001,11851875.962,148765.5098
228,2015-09-18,104399,691001,15215689.7325,185052.7374
229,2015-09-19,210335,206005,11958955.05,128474.1656
230,2015-09-21,112233,691001,10912297.5008,145042.4018
231,2015-09-22,155346,691001,15731521.7054001,170096.7701
232,2015-09-23,116972,691001,10232040.1077,121603.0355
233,2015-09-24,164706,691001,10566845.3148,52818.5753
234,2015-09-25,97035,691001,16923707.9126998,169601.3584
235,2015-09-26,153328,202107,9586915.0700001,113136.5246
236,2015-09-28,32227,691001,11619784.0731001,115204.6723
237,2015-09-29,97608,691001,17700884.5214,535326.0197
238,2015-09-30,80563,691001,19183812.0506998,630809.046999996
239,2015-10-01,32227,691001,15190207.4743001,112068.7691
240,2015-10-02,50900,691001,13134079.199,70010.3375
241,2015-10-05,109523,691001,15844036.0813,527446.4152
242,2015-10-06,159559,691001,15990189.9923,90834.8137
243,2015-10-07,171346,691001,9093338.05050003,101398.5959
244,2015-10-08,112226,691001,13295412.8888,156452.5469
245,2015-10-09,203696,691001,10644905.0565,103555.9937
246,2015-10-10,137717,101029,10161077.19,68736.2538000001
247,2015-10-12,209230,691001,11055888.9924,128218.6702
248,2015-10-13,233,691001,12946654.4992,32894.7835
249,2015-10-14,145804,691001,13654208.5885999,152562.936
250,2015-10-15,123338,691001,13168217.8653999,146648.365
251,2015-10-16,209889,691001,11839275.2985,108536.8789
252,2015-10-17,135867,619217,10992112.94,194986.1322
253,2015-10-19,170769,691001,12016281.8752999,92488.4109
254,2015-10-20,148713,691001,15392761.1584,472238.9597
255,2015-10-21,129156,691001,14036107.0994998,224353.2618
256,2015-10-22,199999,214074,10815544.11,86310.1490000002
257,2015-10-26,125059,691001,11103864.6559,111653.9673
258,2015-10-27,119164,691001,15924760.3822999,331877.8476
259,2015-10-28,160685,691001,17572437.3469,118201.8352
260,2015-10-29,197018,691001,9719226.18119999,75827.679
261,2015-10-30,89344,691001,14482611.5744,567578.450499999
262,2015-10-31,143312,691001,3191583.46750001,31375.0738
263,2015-11-01,114404,691001,10072.8975,46.7810000000001
264,2015-11-02,107352,691001,12425053.7664,67839.2601
265,2015-11-03,187538,691001,10701364.0617,57345.1308
266,2015-11-04,138028,691001,13378020.1063001,116957.0398
267,2015-11-05,FS000579,691001,13149779.1197001,149414.0597
268,2015-11-06,104399,691001,15836856.3091999,329854.6058
269,2015-11-07,155230,211126,8797497.9200001,44010.7207000001
