invoiceyear,productcgcode,productcode,invoiceamt,invoiceqty
2023,10011,235185,1296.24,24
2023,10011,235314,692.52,12
2023,90242,134426,11837.28,336
2023,90242,273156,1105085.43,33363
2023,90242,295301,4121.04,84
2023,90243,273163,805095.31,11607
2023,90243,291471,56203.74,666
2023,90243,301965,48723.07,646
2023,90245,273187,235221.72954,1658
2023,90245,FI611651,169.51,1
