"Cg","Datetime","Customer","Sku","Channel","qty","Amt"
"010012","2019-06-03","612030","027018","200","12","852.34"
"010012","2019-06-04","612030","027018","200","1","79.44"
"010012","2019-06-08","612026","027018","200","120","5996.4"
"010012","2019-06-13","115016","027018","200","24","1334.4"
"010012","2019-06-17","612026","027018","200","120","5996.4"
"010012","2019-06-17","612030","027018","200","2","145.79"
"010012","2019-06-20","612026","027018","200","120","5996.4"
"010012","2019-06-21","612030","027018","200","12","825.23"
"010012","2019-06-24","115016","027018","200","240","13344"
"010012","2019-06-24","612030","027018","200","6","349.91"
"010012","2019-06-25","115016","027018","200","360","20016"
"010012","2019-06-25","612030","027018","200","12","897.2"
"010012","2019-06-28","612030","027018","200","24","1435.51"
"010012","2019-06-29","115016","027018","200","24","1334.4"
"010012","2019-07-01","612030","027018","200","24","1435.52"
"010012","2019-07-05","612026","027018","200","120","5996.4"
"010012","2019-07-06","115016","027018","200","456","25353.6"
"010012","2019-07-08","619433","027018","200","1","71.96"
"010012","2019-07-10","612030","027018","200","3","238.32"
"010012","2019-07-10","619433","027018","200","1","64.79"
"010012","2019-07-13","619433","027018","200","12","645.8"
"010012","2019-07-15","612030","027018","200","12","726.73"
"010012","2019-07-26","115016","027018","200","192","10675.2"
"010012","2019-07-31","612030","027018","200","16","1084.85"
"010012","2019-08-08","115016","027018","200","216","12009.6"
"010012","2019-08-08","615093","027018","200","24","1334.4"
"010012","2019-08-09","612030","027018","200","36","2557.01"
"010012","2019-08-13","619433","027018","200","10","635.51"
"010012","2019-08-19","619433","027018","200","1","63.55"
"010012","2019-08-20","619433","027018","200","1","59.81"
"010012","2019-08-24","612030","027018","200","24","1435.5"
"010012","2019-08-28","612030","027018","200","12","762.62"
"010012","2019-08-29","612030","027018","200","12","762.62"
"010012","2019-08-30","612030","027018","200","13","838.33"
"010012","2019-08-31","115016","027018","200","192","10675.2"
"010012","2019-09-07","619433","027018","200","1","71.03"
"010012","2019-09-09","612030","027018","200","13","667.6600000000001"
"010012","2019-09-10","612030","027018","200","25","1597.2"
"010012","2019-09-12","612030","027018","200","12","762.62"
"010012","2019-09-12","619433","027018","200","24","1525.23"
"010012","2019-09-14","115016","027018","200","600","33360"
"010012","2019-09-17","612030","027018","200","12","897.2"
"010012","2019-09-21","619433","027018","200","12","717.71"
"010012","2019-09-23","619433","027018","200","1","58"
"010012","2019-09-24","612030","027018","200","2","158.88"
"010012","2019-09-26","612030","027018","200","1","63.55"
"010012","2019-09-28","612026","027018","200","96","4797.12"
"010012","2019-10-04","612030","027018","200","12","897.2"
"010012","2019-10-05","619433","027018","200","1","75.7"
"010012","2019-10-07","612030","027018","200","24","1363.74"
"010012","2019-10-07","619433","027018","200","2","138.32"
"010012","2019-10-15","115016","027018","200","408","22684.8"
"010012","2019-10-16","602246","027018","200","18","514.62"
"010012","2019-10-17","612030","027018","200","36","2153.27"
"010012","2019-10-22","612026","027018","200","120","5996.4"
"010012","2019-10-22","612030","027018","200","1","71.5"
"010012","2019-10-22","619433","027018","200","3","238.32"
"010012","2019-10-24","115016","027018","200","408","22684.8"
"010012","2019-10-29","619433","027018","200","5","345.79999999999995"
"010012","2019-11-04","612030","027018","200","12","897.2"
"010012","2019-11-04","619433","027018","200","1","60.71"
"010012","2019-11-05","612030","027018","200","12","953.27"
"010012","2019-11-06","612030","027018","200","12","762.62"
"010012","2019-11-07","619433","027018","200","2","136.45"
"010012","2019-11-09","612026","027018","200","120","5996.4"
"010012","2019-11-12","619433","027018","200","6","238.98"
"010012","2019-11-15","619433","027018","200","24","1207.67"
"010012","2019-11-16","612030","027018","200","2","103.18"
"010012","2019-11-18","619433","027018","200","4","263"
"010012","2019-11-20","619433","027018","200","2","117.76"
"010012","2019-11-25","612030","027018","200","5","397.2"
"010012","2019-11-28","115016","027018","200","408","22684.8"
"010012","2019-12-04","619433","027018","200","1","56.08"
"010012","2019-12-06","619433","027018","200","4","206.54000000000002"
"010012","2019-12-07","619433","027018","200","2","114.02"
"010012","2019-12-09","612030","027018","200","12","897.2"
"010012","2019-12-10","612026","027018","200","120","5996.4"
"010012","2019-12-10","619433","027018","200","5","227.49"
"010012","2019-12-11","612030","027018","200","1","79.44"
"010012","2019-12-12","612030","027018","200","1","51.59"
"010012","2019-12-13","619433","027018","200","2","91.59"
"010012","2019-12-16","612030","027018","200","4","257.94"
"010012","2019-12-16","619433","027018","200","12","755.14"
"010012","2019-12-17","619433","027018","200","5","163.99"
"010012","2019-12-19","612030","027018","200","12","679.63"
"010012","2019-12-25","612030","027018","200","12","897.2"
"010012","2019-12-28","115016","027018","200","384","21350.4"
"010012","2019-12-28","612026","027018","200","240","11992.8"
"010012","2020-01-03","619433","027018","200","7","377.57"
"010012","2020-01-09","612030","027018","200","12","762.62"
"010012","2020-01-15","115016","027018","200","552","30691.2"
"010012","2020-01-17","615093","027018","200","24","1334.4"
"010012","2020-01-20","612030","027018","200","62","3747.6600000000003"
"010012","2020-01-23","612030","027018","200","1","71.5"
"010012","2020-01-24","612030","027018","200","1","79.44"
"010012","2020-01-24","619433","027018","200","4","256.08"
"010012","2020-01-28","115016","027018","200","408","22684.8"
"010012","2020-01-29","612030","027018","200","24","1704.67"
"010012","2020-02-01","115016","027018","200","96","5337.6"
"010012","2020-02-01","612026","027018","200","240","11392.8"
"010012","2020-02-04","612030","027018","200","1","71.5"
"010012","2020-02-04","619433","027018","200","7","397.91"
"010012","2020-02-12","619433","027018","200","12","681.31"
"010012","2020-02-13","612030","027018","200","12","762.62"
"010012","2020-02-14","115016","027018","200","432","24019.2"
"010012","2020-02-19","612030","027018","200","12","897.2"
"010012","2020-02-21","612030","027018","200","12","762.62"
"010012","2020-02-21","619433","027018","200","15","1000.19"
"010012","2020-02-22","612026","027018","200","576","27342.72"
"010012","2020-02-24","612030","027018","200","12","762.62"
"010012","2020-02-26","612030","027018","200","2","158.88"
"010012","2020-02-28","612030","027018","200","1","74.77"
"010012","2020-03-02","612030","027018","200","2","149.53"
"010012","2020-03-04","612030","027018","200","12","683.23"
"010012","2020-03-06","612030","027018","200","6","426.17"
"010012","2020-03-07","612030","027018","200","12","681.87"
"010012","2020-03-10","612030","027018","200","12","699.64"
"010012","2020-03-12","619433","027018","200","1","67.29"
"010012","2020-03-13","115016","027018","200","432","24019.2"
"010012","2020-03-17","612030","027018","200","12","717.75"
"010012","2020-03-18","115016","027018","200","624","34694.4"
"010012","2020-03-24","612030","027018","200","3","238.32"
"010012","2020-03-24","619433","027018","200","6","414.95"
"010012","2020-03-28","612030","027018","200","12","807.48"
"010012","2020-03-30","612030","027018","200","8","452.99"
"010012","2020-03-31","612030","027018","200","3","132.82999999999998"
"010012","2020-04-01","612030","027018","200","6","383.55"
"010012","2020-04-01","619433","027018","200","5","378.5"
"010012","2020-04-02","619433","027018","200","12","659.81"
"010012","2020-04-04","612030","027018","200","6","426.17"
"010012","2020-04-07","612030","027018","200","1","63.04"
"010012","2020-04-08","612030","027018","200","2","134.58"
"010012","2020-04-08","619433","027018","200","7","500"
"010012","2020-04-11","612030","027018","200","12","825.23"
"010012","2020-04-14","612030","027018","200","9","656.07"
"010012","2020-04-16","618074","027018","200","9","520.02"
"010012","2020-04-17","619433","027018","200","1","75.7"
"010012","2020-04-21","612030","027018","200","1","69.3"
"010012","2020-04-21","619433","027018","200","2","110.5"
"010012","2020-04-22","619433","027018","200","26","1244.59"
"010012","2020-04-24","612030","027018","200","24","1435.51"
"010012","2020-04-27","612030","027018","200","10","794.39"
"010012","2020-04-27","619433","027018","200","1","71.03"
"010012","2020-04-28","612030","027018","200","3","228.98"
"010012","2020-04-29","612030","027018","200","13","839.24"
"010012","2020-05-02","612030","027018","200","1","71.03"
"010012","2020-05-02","619433","027018","200","3","176.93"
"010012","2020-05-07","619433","027018","200","12","766.35"
"010012","2020-05-08","619433","027018","200","7","330.32000000000005"
"010012","2020-05-13","612030","027018","200","2","158.88"
"010012","2020-05-13","619433","027018","200","3","119.99"
"010012","2020-05-14","115016","027018","200","48","2668.8"
"010012","2020-05-14","612030","027018","200","1","71.5"
"010012","2020-05-15","612030","027018","200","2","117.91"
"010012","2020-05-15","619433","027018","200","12","487.65"
"010012","2020-05-18","619433","027018","200","1","63.57"
