,"Quarter","Region","State","Trips","Purpose"
1163,"2018-11-14","011734","102008","33190","2072246.8699999987"
1164,"2018-11-15","076467","701047","23689","1399198.3600000006"
1165,"2018-11-16","101916","691001","23808","1263926.1227000002"
1166,"2018-11-17","080013","116162","17567","1035163.6000000006"
1167,"2018-11-19","110659","123046","38197","1937738.8199999977"
1168,"2018-11-20","101916","691001","30048","1867486.8096000017"
1169,"2018-11-21","122126","691001","15305","897581.6409000012"
1170,"2018-11-22","018511","691001","29843","1594087.9612999996"
1171,"2018-11-23","223991","691001","21393","1116261.165599999"
1172,"2018-11-24","234850","603156","22164","1203550.6300000015"
1173,"2018-11-26","194383","701054","14792","735234.5399999999"
1174,"2018-11-27","111403","691001","27063","1459707.5260999997"
1175,"2018-11-28","094560","103131","13107","796488.9800000003"
1176,"2018-11-29","018535","691001","18271","990937.5253000001"
1177,"2018-11-30","153762","691001","19105","1208593.2279999997"
1178,"2018-12-01","094874","603165","25869","1252241.4600000002"
1179,"2018-12-03","042288","603795","24989","1245126.4300000016"
1180,"2018-12-04","167851","691001","26600","1362516.5643000002"
1181,"2018-12-06","042295","691001","39449","2516826.0827999995"
1182,"2018-12-07","167929","691001","17979","1140335.8383000004"
1183,"2018-12-08","013622","612030","30289","1792725.620000001"
1184,"2018-12-10","139957","691001","26930","1294999.4860999994"
1185,"2018-12-11","077945","691001","12186","712425.2982000007"
1186,"2018-12-12","013622","691001","9599","651399.7323999997"
1187,"2018-12-13","013622","612030","28871","1507847.58"
1188,"2018-12-14","122133","691001","33031","1798666.7903000002"
1189,"2018-12-15","122645","615048","13831","794042.3500000001"
1190,"2018-12-17","122058","691001","18137","972068.9072999994"
1191,"2018-12-18","018535","691001","24480","1473771.3763000015"
1192,"2018-12-19","122133","691001","25398","1562748.7473000002"
1193,"2018-12-20","018535","691001","20360","1403248.2583000006"
1194,"2018-12-21","101916","691001","16546","1337567.6197"
1195,"2018-12-22","122645","619217","24428","1471898.990000001"
1196,"2018-12-24","139957","691001","24312","1211502.1437"
1197,"2018-12-25","150075","702009","76084","3982431.4099999997"
1198,"2018-12-26","153779","691001","57782","2760129.4577000006"
1199,"2018-12-27","167929","619433","48045","2616866.050000002"
1200,"2018-12-28","122676","615035","47482","2373834.400000002"
1201,"2018-12-29","013622","111079","18775","893530.6199999998"
1202,"2019-01-02","018511","612030","8185","502179.8100000003"
1203,"2019-01-03","111403","691001","7051","532254.5038"
1204,"2019-01-04","122157","691001","18376","1183524.1089000003"
1205,"2019-01-07","122058","691001","18253","1129952.1643000008"
1206,"2019-01-08","150129","691001","7372","482919.7148000011"
1207,"2019-01-09","076467","691001","22265","1186159.9364000002"
1208,"2019-01-10","018535","691001","29470","1668486.8480000002"
1209,"2019-01-11","122058","691001","13829","828693.7345"
1210,"2019-01-12","076467","612030","11654","672707.53"
1211,"2019-01-14","153786","691001","19168","1160920.5429000002"
1212,"2019-01-15","153762","691001","16650","892907.8691999998"
1213,"2019-01-16","153762","691001","16926","1065040.3928"
1214,"2019-01-17","139957","691001","17743","1247950.9535000015"
1215,"2019-01-18","004477","691001","38268","2633355.4215"
1216,"2019-01-19","150099","119442","29529","1510327.6400000008"
