Datetime,QTY
6/18/2018,6760
6/23/2018,6980
6/25/2018,3780
6/26/2018,1880
6/27/2018,140
6/28/2018,-1000
6/29/2018,560
6/30/2018,80
7/2/2018,460
7/6/2018,1432
7/7/2018,680
7/9/2018,100
7/11/2018,296
7/13/2018,180
7/14/2018,5270
7/16/2018,660
7/17/2018,180
7/18/2018,7695
7/19/2018,2265
7/20/2018,1000
7/21/2018,40
7/23/2018,40
7/24/2018,60
7/25/2018,52
7/26/2018,1148
7/31/2018,40
8/1/2018,280
8/4/2018,140
8/6/2018,9725
8/7/2018,3054
8/8/2018,1304
8/9/2018,984
8/10/2018,-140
8/11/2018,1215
8/14/2018,25
8/18/2018,20
8/21/2018,3
8/22/2018,9015
8/24/2018,60
8/25/2018,5
8/29/2018,97
8/30/2018,-120
9/3/2018,3
9/8/2018,200
9/10/2018,35
9/11/2018,79
9/13/2018,-5
9/21/2018,1802
9/22/2018,2188
9/24/2018,865
9/25/2018,1122
9/26/2018,1412
9/27/2018,1780
9/28/2018,338
9/29/2018,40
10/1/2018,7
10/2/2018,17
10/3/2018,248
10/4/2018,344
10/5/2018,1283
10/6/2018,425
10/8/2018,666
10/9/2018,378
10/10/2018,198
10/11/2018,793
10/12/2018,776
10/15/2018,560
10/16/2018,824
10/17/2018,2544
10/18/2018,632
10/19/2018,1671
10/20/2018,1286
10/22/2018,2759
10/23/2018,500
10/24/2018,348
10/25/2018,2125
10/26/2018,2439
10/27/2018,225
10/29/2018,292
10/30/2018,1852
10/31/2018,398
11/1/2018,3319
11/2/2018,1684
11/3/2018,600
11/5/2018,316
11/6/2018,832
11/7/2018,238
11/8/2018,635
11/9/2018,615
11/10/2018,2297
11/12/2018,1093
11/13/2018,690
11/14/2018,2484
11/15/2018,3701
11/16/2018,278
11/17/2018,413
11/18/2018,9
11/19/2018,161
11/20/2018,459
11/21/2018,1431
11/22/2018,500
11/23/2018,251
11/24/2018,507
11/26/2018,368
11/27/2018,1759
11/28/2018,420
11/29/2018,1977
11/30/2018,1073
12/1/2018,900
12/3/2018,351
12/4/2018,314
12/6/2018,206
12/7/2018,239
12/8/2018,417
12/10/2018,3238
12/11/2018,2008
12/12/2018,575
12/13/2018,423
12/14/2018,2636
12/15/2018,1158
12/17/2018,360
12/18/2018,363
12/19/2018,127
12/20/2018,349
12/21/2018,1667
12/22/2018,1589
12/24/2018,6859
12/25/2018,6319
12/26/2018,1765
12/27/2018,1631
12/28/2018,1040
12/29/2018,16
1/2/2019,481
1/3/2019,295
1/4/2019,417
1/7/2019,240
1/8/2019,502
1/9/2019,450
1/10/2019,566
1/11/2019,406
1/12/2019,1403
1/14/2019,850
1/15/2019,1464
1/16/2019,730
1/17/2019,881
1/18/2019,3290
1/19/2019,325
1/21/2019,1363
1/22/2019,2811
1/23/2019,580
1/24/2019,812
1/25/2019,755
1/26/2019,-1407
1/28/2019,919
1/29/2019,222
1/30/2019,2993
1/31/2019,4079
2/1/2019,1526
2/6/2019,389
2/7/2019,724
2/8/2019,1394
2/9/2019,1412
2/11/2019,552
2/12/2019,1201
2/13/2019,472
2/14/2019,1469
2/15/2019,793
2/16/2019,1039
2/18/2019,652
2/20/2019,533
2/21/2019,2758
2/22/2019,1137
2/23/2019,1138
2/25/2019,941
2/26/2019,9417
2/27/2019,2372
2/28/2019,8114
3/1/2019,1303
3/2/2019,820
3/4/2019,1150
3/5/2019,488
3/6/2019,731
3/7/2019,1834
3/8/2019,203
3/9/2019,829
3/11/2019,1780
3/12/2019,2050
3/13/2019,1056
3/14/2019,635
3/15/2019,1549
3/16/2019,745
3/18/2019,1215
3/19/2019,2572
3/20/2019,1430
3/21/2019,7781
3/22/2019,4111
3/23/2019,55
3/25/2019,2003
3/26/2019,3327
3/27/2019,2392
3/28/2019,4102
3/29/2019,403
3/30/2019,9898
3/31/2019,1354
4/1/2019,402
4/2/2019,366
4/3/2019,392
4/4/2019,160
4/5/2019,781
4/6/2019,77
4/8/2019,1712
4/9/2019,302
4/10/2019,600
4/11/2019,558
4/17/2019,1337
4/18/2019,678
4/19/2019,366
4/20/2019,308
4/22/2019,1105
4/23/2019,922
4/24/2019,417
4/25/2019,1364
4/26/2019,436
4/27/2019,1011
4/29/2019,698
4/30/2019,1341
5/2/2019,250
5/3/2019,194
5/4/2019,155
5/7/2019,722
5/8/2019,99
5/9/2019,-280
5/10/2019,310
5/11/2019,220
5/13/2019,118
5/14/2019,260
5/15/2019,2014
5/16/2019,380
5/17/2019,140
5/20/2019,740
5/21/2019,80
5/22/2019,14
5/23/2019,99
5/24/2019,109
5/25/2019,8
5/27/2019,203
5/28/2019,241
5/29/2019,42
5/30/2019,43
5/31/2019,34
6/1/2019,22
6/3/2019,278
6/4/2019,94
6/5/2019,104
6/7/2019,137
6/8/2019,123
6/10/2019,8
6/11/2019,126
6/12/2019,21
6/13/2019,160
6/14/2019,1660
6/17/2019,302
6/18/2019,102
6/19/2019,186
6/20/2019,223
6/21/2019,190
6/22/2019,87
6/24/2019,184
6/26/2019,420
6/27/2019,130
6/28/2019,1528
6/29/2019,196
7/1/2019,7
7/2/2019,14
7/3/2019,275
7/4/2019,10
7/5/2019,27
7/6/2019,39
7/8/2019,20
7/10/2019,120
7/11/2019,94
7/12/2019,122
7/13/2019,6
7/15/2019,30
7/17/2019,175
7/18/2019,46
7/19/2019,20
7/20/2019,379
7/22/2019,312
7/23/2019,660
7/24/2019,25
7/25/2019,35
7/26/2019,85
7/27/2019,116
7/30/2019,980
7/31/2019,5
8/1/2019,290
8/2/2019,219
8/3/2019,1
8/5/2019,121
8/6/2019,235
8/7/2019,210
8/8/2019,88
8/10/2019,72
8/13/2019,-40
8/14/2019,6
8/15/2019,25
8/16/2019,52
8/17/2019,370
8/19/2019,-160
8/20/2019,530
8/21/2019,107
8/22/2019,20
8/23/2019,65
8/24/2019,13
8/26/2019,89
8/27/2019,336
8/28/2019,2
8/29/2019,6
8/30/2019,72
8/31/2019,7
9/2/2019,121
9/3/2019,620
9/4/2019,37
9/5/2019,20
9/6/2019,300
9/7/2019,49
9/9/2019,235
9/10/2019,22
9/11/2019,244
9/12/2019,643
9/13/2019,217
9/14/2019,208
9/16/2019,597
9/17/2019,238
9/18/2019,100
9/19/2019,155
9/20/2019,263
9/21/2019,586
9/23/2019,81
9/24/2019,56
9/25/2019,20
9/26/2019,315
9/27/2019,34
9/28/2019,8
9/30/2019,20
10/1/2019,-320
10/3/2019,1
10/7/2019,0
10/9/2019,-5
10/10/2019,3
10/11/2019,1
10/18/2019,-437
10/19/2019,5
10/22/2019,4
10/24/2019,49
10/25/2019,60
10/26/2019,49
10/28/2019,1
10/29/2019,-94
10/30/2019,-628
10/31/2019,274
11/1/2019,-110
11/5/2019,110
11/6/2019,52
11/7/2019,1
11/8/2019,3400
11/11/2019,100
11/12/2019,40
11/13/2019,1181
11/14/2019,3220
11/15/2019,1082
11/16/2019,1240
11/18/2019,106
11/19/2019,100
11/20/2019,1294
11/21/2019,1062
11/22/2019,230
11/25/2019,1105
11/26/2019,145
11/27/2019,282
11/28/2019,92
11/29/2019,1222
11/30/2019,2
12/2/2019,22
12/4/2019,240
12/6/2019,2263
12/7/2019,41
12/9/2019,877
12/10/2019,606
12/11/2019,1171
12/12/2019,5543
12/13/2019,-358
12/14/2019,271
12/16/2019,319
12/17/2019,-74
12/18/2019,2284
12/19/2019,237
12/20/2019,270
12/21/2019,-2692
12/23/2019,5456
12/24/2019,865
12/25/2019,3774
12/26/2019,3079
12/27/2019,1332
12/28/2019,7
1/2/2020,20
1/6/2020,-1489
1/7/2020,1107
1/8/2020,119
1/9/2020,158
1/10/2020,337
1/11/2020,186
1/13/2020,416
1/14/2020,707
1/15/2020,2200
1/16/2020,154
1/17/2020,330
1/18/2020,89
1/20/2020,498
1/21/2020,224
1/22/2020,288
1/23/2020,2541
1/24/2020,233
1/27/2020,441
1/28/2020,511
1/29/2020,405
1/30/2020,2104
1/31/2020,681
2/1/2020,2959
2/3/2020,328
2/4/2020,2020
2/5/2020,692
2/6/2020,2198
2/7/2020,617
2/8/2020,651
2/10/2020,769
2/11/2020,-879
2/12/2020,1066
2/13/2020,783
2/14/2020,776
2/15/2020,432
2/17/2020,1454
2/18/2020,682
2/19/2020,358
2/20/2020,696
2/21/2020,1486
2/22/2020,549
2/24/2020,388
2/25/2020,1874
2/26/2020,494
2/27/2020,1840
2/28/2020,7782
2/29/2020,235
3/2/2020,38
3/3/2020,190
3/4/2020,178
3/5/2020,61
3/6/2020,160
3/9/2020,5
3/11/2020,21
3/16/2020,-471
3/17/2020,299
3/18/2020,35
3/19/2020,920
3/20/2020,1150
3/21/2020,818
3/23/2020,1875
3/24/2020,609
3/25/2020,452
3/26/2020,87
3/27/2020,221
3/28/2020,136
3/30/2020,1204
3/31/2020,40
4/1/2020,46
4/4/2020,900
4/7/2020,114
4/8/2020,-92
4/9/2020,111
4/11/2020,27
4/13/2020,185
4/14/2020,95
4/15/2020,66
4/16/2020,252
4/17/2020,30
4/18/2020,25
4/20/2020,60
4/21/2020,80
4/23/2020,274
4/24/2020,146
4/25/2020,1110
4/27/2020,103
4/28/2020,195
4/29/2020,166
4/30/2020,121
5/4/2020,178
5/5/2020,222
5/7/2020,46
5/8/2020,302
5/11/2020,-1334
5/12/2020,74
5/13/2020,40
5/15/2020,124
5/16/2020,124
5/18/2020,235
5/19/2020,221
5/20/2020,247
5/21/2020,401
5/22/2020,213
5/23/2020,380
5/25/2020,596
5/26/2020,320
5/27/2020,672
5/28/2020,181
5/29/2020,313
5/30/2020,185
6/1/2020,88
6/2/2020,525
6/4/2020,441
6/5/2020,562
6/6/2020,204
6/8/2020,90
6/9/2020,1817
6/10/2020,81
6/11/2020,1263
6/12/2020,375
6/13/2020,424
6/15/2020,67
6/16/2020,1285
6/17/2020,247
6/18/2020,194
6/19/2020,841
6/20/2020,182
6/21/2020,389
6/22/2020,343
6/23/2020,804
6/24/2020,423
6/25/2020,775
6/26/2020,2195
6/27/2020,725
6/28/2020,134
6/29/2020,1125
6/30/2020,85
7/1/2020,884
7/2/2020,3856
7/3/2020,849
7/4/2020,275
7/6/2020,1020
7/7/2020,882
7/8/2020,241
7/9/2020,394
7/10/2020,229
7/11/2020,70
7/12/2020,70
7/13/2020,225
7/14/2020,37
7/15/2020,170
7/16/2020,169
7/17/2020,62
7/18/2020,253
7/20/2020,259
7/21/2020,39
7/22/2020,271
7/23/2020,166
7/24/2020,110
7/25/2020,180
7/27/2020,156
7/29/2020,3
7/30/2020,188
7/31/2020,110
8/1/2020,46
8/3/2020,108
8/4/2020,10
8/5/2020,236
8/6/2020,-10
8/7/2020,83
8/8/2020,-2
8/9/2020,120
8/10/2020,45
8/11/2020,-20
8/12/2020,5
8/13/2020,84
8/14/2020,60
8/15/2020,65
8/17/2020,93
8/18/2020,553
8/19/2020,46
8/20/2020,108
8/21/2020,220
8/22/2020,23
8/24/2020,166
8/25/2020,206
8/26/2020,490
8/27/2020,154
8/28/2020,90
8/29/2020,60
8/31/2020,165
9/1/2020,157
9/2/2020,187
9/3/2020,89
9/4/2020,222
9/7/2020,7
9/8/2020,40
9/9/2020,247
9/10/2020,23
9/11/2020,70
9/12/2020,94
9/14/2020,22
9/16/2020,325
9/17/2020,15
9/18/2020,13
9/19/2020,43
9/21/2020,225
9/22/2020,140
9/23/2020,60
9/24/2020,164
9/25/2020,122
9/26/2020,-111
9/28/2020,140
9/29/2020,91
9/30/2020,155
10/1/2020,60
10/2/2020,38
10/3/2020,2
10/5/2020,22
10/6/2020,22
10/7/2020,205
10/8/2020,127
10/9/2020,165
10/10/2020,32
10/12/2020,3
10/14/2020,30
10/16/2020,76
10/17/2020,111
10/19/2020,231
10/20/2020,116
10/21/2020,-120
10/22/2020,108
10/26/2020,4
10/27/2020,1413
10/28/2020,15
10/29/2020,520
10/30/2020,34
10/31/2020,22
11/2/2020,1
11/3/2020,109
11/5/2020,20
11/6/2020,40
11/7/2020,112
11/9/2020,80
11/10/2020,5
11/11/2020,50
11/12/2020,57
11/13/2020,29
11/14/2020,44
11/16/2020,20
11/17/2020,69
11/18/2020,195
11/19/2020,175
11/20/2020,140
11/21/2020,48
11/23/2020,64
11/24/2020,370
11/25/2020,40
11/26/2020,137
11/27/2020,251
11/28/2020,166
12/1/2020,380
12/2/2020,39
12/3/2020,1115
12/4/2020,42
12/7/2020,213
12/8/2020,40
12/9/2020,88
12/10/2020,143
12/11/2020,514
12/12/2020,23
12/14/2020,30
12/15/2020,72
12/16/2020,130
12/17/2020,17
12/18/2020,80
12/19/2020,20
12/21/2020,128
12/22/2020,75
12/23/2020,105
12/24/2020,137
12/25/2020,20
12/26/2020,10
12/28/2020,100
12/29/2020,40
1/4/2021,26
1/5/2021,710
1/6/2021,106
1/7/2021,139
1/8/2021,279
1/9/2021,172
1/11/2021,120
1/12/2021,457
1/13/2021,200
1/14/2021,105
1/15/2021,53
1/16/2021,40
1/18/2021,549
1/19/2021,168
1/20/2021,171
1/21/2021,129
1/22/2021,504
1/23/2021,174
1/25/2021,376
1/26/2021,450
1/27/2021,144
1/28/2021,1300
1/29/2021,652
1/30/2021,328
2/1/2021,29
2/2/2021,63
2/3/2021,423
2/4/2021,35
2/5/2021,970
2/6/2021,60
2/8/2021,1137
2/9/2021,240
2/10/2021,237
2/11/2021,374
2/15/2021,440
2/16/2021,612
2/17/2021,259
2/18/2021,289
2/19/2021,547
2/20/2021,999
2/22/2021,867
2/23/2021,337
2/24/2021,853
2/25/2021,554
2/26/2021,121
2/27/2021,457
3/1/2021,605
3/2/2021,3754
3/3/2021,478
3/4/2021,558
3/5/2021,404
3/6/2021,354
