"Datetime","Cg","Customer","Sku","Qty","Amt"
"2019-06","010011","120023","013622","1200","59945"
"2019-06","010011","120099","013622","480","23978"
"2019-06","010011","120118","013622","192","10413.28"
"2019-06","010011","121029","013622","840","40283.04"
"2019-06","010011","161048","013622","120","6508.3"
"2019-06","010011","176044","013622","24","1301.66"
"2019-06","010011","180041","013622","120","6165.7"
"2019-06","010011","181003","013622","72","3904.98"
"2019-06","010011","201010","013622","1896","91871.71"
"2019-06","010011","201018","013622","48","2466.28"
"2019-06","010011","201024","013622","120","6302.7"
"2019-06","010011","201027","013622","24","1329.06"
"2019-06","010011","201054","013622","96","5042.16"
"2019-06","010011","201076","013622","192","9865.12"
"2019-06","010011","201091","013622","432","22196.52"
"2019-06","010011","201217","013622","72","3781.62"
"2019-06","010011","201240","013622","24","1260.54"
"2019-06","010011","202050","013622","360","18908.1"
"2019-06","010011","202056","013622","1920","93033.6"
"2019-06","010011","202118","013622","168","8823.78"
"2019-06","010011","202151","013622","72","3904.9800000000005"
"2019-06","010011","202165","013622","72","3904.98"
"2019-06","010011","202181","013622","960","49325.6"
"2019-06","010011","202191","013622","24","1301.66"
"2019-06","010011","203004","013622","720","36994.2"
"2019-06","010011","203034","013622","480","23258.66"
"2019-06","010011","203139","013622","2400","119890"
"2019-06","010011","203166","013622","120","6508.3"
"2019-06","010011","204011","013622","1200","58146.65"
"2019-06","010011","204026","013622","240","13016.6"
"2019-06","010011","204077","013622","120","6302.7"
"2019-06","010011","204079","013622","48","2466.28"
"2019-06","010011","204791","013622","1560","75590.64"
"2019-06","010011","205019","013622","48","2521.08"
"2019-06","010011","206025","013622","240","12331.4"
"2019-06","010011","206029","013622","24","1301.66"
"2019-06","010011","206033","013622","120","6508.3"
"2019-06","010011","207027","013622","120","6302.7"
"2019-06","010011","208052","013622","288","15126.48"
"2019-06","010011","208053","013622","504","26471.34"
"2019-06","010011","210002","013622","1200","58146.65"
"2019-06","010011","210024","013622","480","25210.8"
"2019-06","010011","210044","013622","480","23978"
"2019-06","010011","210049","013622","48","2521.08"
"2019-06","010011","211014","013622","120","6508.3"
"2019-06","010011","211040","013622","720","35967"
"2019-06","010011","211046","013622","768","38364.8"
"2019-06","010011","211110","013622","480","23978"
"2019-06","010011","211126","013622","480","23258.66"
"2019-06","010011","211144","013622","1200","59945"
"2019-06","010011","211170","013622","240","12331.4"
"2019-06","010011","211201","013622","720","35967"
"2019-06","010011","211273","013622","120","6508.3"
"2019-06","010011","212017","013622","600","31513.5"
"2019-06","010011","213019","013622","840","41961.5"
"2019-06","010011","213057","013622","360","18908.1"
"2019-06","010011","213102","013622","120","6302.7"
"2019-06","010011","213159","013622","192","10084.32"
"2019-06","010011","214031","013622","288","14797.68"
"2019-06","010011","214050","013622","288","14671.92"
"2019-06","010011","214057","013622","72","3904.98"
"2019-06","010011","214071","013622","720","35967"
"2019-06","010011","214082","013622","840","40702.2"
"2019-06","010011","214141","013622","168","8823.779999999999"
"2019-06","010011","215015","013622","144","7809.96"
"2019-06","010011","216073","013622","72","3668.17"
"2019-06","010011","216175","013622","120","5994.5"
"2019-06","010011","216177","013622","120","6165.7"
"2019-06","010011","216271","013622","240","12605.4"
"2019-06","010011","216272","013622","120","5994.5"
"2019-06","010011","216352","013622","360","18497.1"
"2019-06","010011","216373","013622","144","7563.24"
"2019-06","010011","216416","013622","96","5206.64"
"2019-06","010011","216422","013622","960","49325.6"
"2019-06","010011","216440","013622","240","11989"
"2019-06","010011","216445","013622","48","2740.32"
"2019-06","010011","216453","013622","360","18908.1"
"2019-06","010011","218016","013622","2400","116293.3"
"2019-06","010011","218045","013622","480","24662.8"
"2019-06","010011","218052","013622","240","12331.4"
"2019-06","010011","218078","013622","1272","58146.65"
"2019-06","010011","218096","013622","72","3904.98"
"2019-06","010011","219034","013622","600","29903.64"
"2019-06","010011","219038","013622","360","17942.19"
"2019-06","010011","219040","013622","960","46517.32"
"2019-06","010011","219062","013622","240","12331.4"
"2019-06","010011","219084","013622","48","2520.96"
"2019-06","010011","219106","013622","240","12605.4"
"2019-06","010011","219165","013622","120","6302.7"
"2019-06","010011","219183","013622","24","1260.54"
"2019-06","010011","219201","013622","120","5994.5"
"2019-06","010011","219221","013622","480","23258.66"
"2019-06","010011","219250","013622","360","18497.1"
"2019-06","010011","219271","013622","48","2521.08"
"2019-06","010011","219287","013622","720","36994.2"
"2019-06","010011","219292","013622","720","36994.2"
"2019-06","010011","219358","013622","360","18340.86"
"2019-06","010011","219409","013622","384","19182.4"
"2019-06","010011","219416","013622","48","2603.32"
