"Cg","Datetime","Customer","Sku","Channel","qty","Amt"
"010011","2017-04-19","603165","013622","200","96","4797.12"
"010011","2017-04-20","603165","013622","200","96","4797.12"
"010011","2017-04-21","115016","013622","200","1680","93408"
"010011","2017-04-21","603165","013622","200","96","4797.12"
"010011","2017-04-26","115016","013622","200","1056","58713.6"
"010011","2017-04-27","603165","013622","200","96","4797.12"
"010011","2017-04-28","115016","013622","200","1320","73392"
"010011","2017-05-09","115016","013622","200","1680","93408"
"010011","2017-05-11","603165","013622","200","120","5996.4"
"010011","2017-05-12","115016","013622","200","1080","60048"
"010011","2017-05-13","601001","013622","200","240","11832"
"010011","2017-05-17","603165","013622","200","240","12720"
"010011","2017-05-18","115016","013622","200","1680","93408"
"010011","2017-05-19","115016","013622","200","1200","66720"
"010011","2017-05-20","603165","013622","200","480","23985.6"
"010011","2017-05-25","115016","013622","200","1200","66720"
"010011","2017-05-26","601001","013622","200","240","11832"
"010011","2017-05-31","115016","013622","200","2040","113424"
"010011","2017-06-07","115016","013622","200","1920","106752"
"010011","2017-06-07","603165","013622","200","192","9594.24"
"010011","2017-06-09","115016","013622","200","2160","120096"
"010011","2017-06-09","603165","013622","200","192","9594.24"
"010011","2017-06-15","115016","013622","200","1320","73392"
"010011","2017-06-15","603165","013622","200","96","4797.12"
"010011","2017-06-22","603165","013622","200","288","14391.36"
"010011","2017-06-23","601001","013622","200","240","11832"
"010011","2017-06-29","115016","013622","200","3600","200160"
"010011","2017-06-29","603165","013622","200","96","4797.12"
"010011","2017-06-30","115016","013622","200","1200","66720"
"010011","2017-07-03","601001","013622","200","240","11832"
"010011","2017-07-07","603165","013622","200","240","11992.8"
"010011","2017-07-11","601001","013622","200","240","11832"
"010011","2017-07-11","603165","013622","200","768","38376.96"
"010011","2017-07-13","115016","013622","200","2040","113424"
"010011","2017-07-13","603165","013622","200","288","14391.36"
"010011","2017-07-14","115016","013622","200","1440","80064"
"010011","2017-07-18","601001","013622","200","240","11832"
"010011","2017-07-19","603165","013622","200","288","14391.36"
"010011","2017-07-20","115016","013622","200","1560","86736"
"010011","2017-07-21","612030","013622","200","5","397.1963"
"010011","2017-07-22","603165","013622","200","480","23985.6"
"010011","2017-07-26","115016","013622","200","1440","80064"
"010011","2017-08-01","115016","013622","200","1080","60048"
"010011","2017-08-01","601001","013622","200","240","11832"
"010011","2017-08-05","603165","013622","200","240","11992.8"
"010011","2017-08-09","115016","013622","200","2760","153456"
"010011","2017-08-10","115016","013622","200","1200","66720"
"010011","2017-08-11","612030","013622","200","3","238.3178"
"010011","2017-08-14","612030","013622","200","2","158.8785"
"010011","2017-08-17","115016","013622","200","2760","153456"
"010011","2017-08-19","603165","013622","200","360","17989.2"
"010011","2017-08-22","115016","013622","200","1560","86736"
"010011","2017-08-24","601001","013622","200","240","11832"
"010011","2017-08-28","603165","013622","200","240","11992.8"
"010011","2017-08-31","115016","013622","200","1440","80064"
"010011","2017-09-05","115016","013622","200","1560","86736"
"010011","2017-09-06","601001","013622","200","480","23664"
"010011","2017-09-07","115016","013622","200","1800","100080"
"010011","2017-09-12","115016","013622","200","744","41366.4"
"010011","2017-09-12","603165","013622","200","432","21587.04"
"010011","2017-09-25","603165","013622","200","48","2398.56"
"010011","2017-09-27","115016","013622","200","1800","100080"
"010011","2017-09-29","601001","013622","200","120","5916"
"010011","2017-09-30","115016","013622","200","1920","106752"
"010011","2017-10-03","603165","013622","200","240","11992.8"
"010011","2017-10-04","612030","013622","200","1","79.4393"
"010011","2017-10-06","601001","013622","200","120","5916"
"010011","2017-10-09","603165","013622","200","360","17989.2"
"010011","2017-10-12","115016","013622","200","2880","160128"
"010011","2017-10-12","601001","013622","200","120","5916"
"010011","2017-10-14","115016","013622","200","1680","93408"
"010011","2017-10-20","115016","013622","200","2040","113424"
"010011","2017-10-21","603165","013622","200","120","5996.4"
"010011","2017-10-24","612030","013622","200","1","79.4393"
"010011","2017-10-27","115016","013622","200","1320","73392"
"010011","2017-10-27","601001","013622","200","120","5916"
"010011","2017-10-30","603165","013622","200","360","17989.2"
"010011","2017-10-31","115016","013622","200","1056","58713.6"
